order,image_url,license,author
Gasterosteiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Adriaen_Coenen%27s_Visboeck_-_KB_78_E_54_-_folio_384v.jpg/330px-Adriaen_Coenen%27s_Visboeck_-_KB_78_E_54_-_folio_384v.jpg,Public domain,This image has been <b>extracted</b> from another file
Gymnotiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Black_Ghost_Knifefish_400.jpg/330px-Black_Ghost_Knifefish_400.jpg,CC BY-SA 2.5,"Photo by and (c)2005 Derek Ramsey (<a href=""https://en.wikipedia.org/wiki/User:Ram-Man"" class=""extiw"" title=""en:User:Ram-Man"">Ram-Man</a>)"
Hemiptera,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/EB1911_Hemiptera_-_Fig._10.%E2%80%94Nymph_%284th_stage%29_of_Cicad.jpg/330px-EB1911_Hemiptera_-_Fig._10.%E2%80%94Nymph_%284th_stage%29_of_Cicad.jpg,Public domain,"<span lang=""en"">Anonymous</span><span style=""display:none"">Unknown author</span>"
Hymenoptera,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Avispa_%28Hymenoptera%29.jpg/330px-Avispa_%28Hymenoptera%29.jpg,CC BY 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Ferferic&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Ferferic (page does not exist)"">Ferferic</a>"
Hypocreales,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/04_03_27_cuerpos_fruct%C3%ADferos%2C_Hypocreales_%28sin_Clavicipitaceae%29%2C_Ascomycota_%28M._Piepenbring%29.png/330px-04_03_27_cuerpos_fruct%C3%ADferos%2C_Hypocreales_%28sin_Clavicipitaceae%29%2C_Ascomycota_%28M._Piepenbring%29.png,CC BY-SA 3.0,M. Piepenbring
Ixodida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/111101_LPL_DMLT_ticks_sign_horizontal_025.jpg/330px-111101_LPL_DMLT_ticks_sign_horizontal_025.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Simnia&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Simnia (page does not exist)"">Simnia</a>"
Lepidoptera,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Close_wing_Basking_of_Ideopsis_similis_%28Linnaeus%2C_1758%29_-_Blue_Glassy_Tiger_WLB.jpg/330px-Close_wing_Basking_of_Ideopsis_similis_%28Linnaeus%2C_1758%29_-_Blue_Glassy_Tiger_WLB.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Anitava_Roy"" title=""User:Anitava Roy"">Anitava Roy</a>"
Malpighiales,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Malpighiales_-_Acalypha_hispida_1.jpg/330px-Malpighiales_-_Acalypha_hispida_1.jpg,CC BY-SA 4.0,Emőke Dénes
Malvales,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Alcea_setosa.jpg/330px-Alcea_setosa.jpg,Public domain,
Monotremata,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/A_hand-book_to_the_marsupialia_and_monotremata_%281896%29_%2814592052377%29.jpg/330px-A_hand-book_to_the_marsupialia_and_monotremata_%281896%29_%2814592052377%29.jpg,No restrictions,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/126377022@N07"">Internet Archive Book Images</a>"
Orthoptera,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/ACOUSTIC_BIODIVERSITY_-_Extension_1_-_The_singing_Orthoptera_of_Slovenia.webm/330px--ACOUSTIC_BIODIVERSITY_-_Extension_1_-_The_singing_Orthoptera_of_Slovenia.webm.jpg,CC BY 3.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.youtube.com/@WolfgangForstmeier"">Wolfgang Forstmeier</a>"
Passeriformes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ashy_Prinia_in_Ajodhya_Hills_July_2024_by_Tisha_Mukherjee_01.jpg/330px-Ashy_Prinia_in_Ajodhya_Hills_July_2024_by_Tisha_Mukherjee_01.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Tisha_Mukherjee"" title=""User:Tisha Mukherjee"">Tisha Mukherjee</a>"
Pelecaniformes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Eastern_Cattle-Egret_by_Tisha_Mukherjee_05.jpg/330px-Eastern_Cattle-Egret_by_Tisha_Mukherjee_05.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Tisha_Mukherjee"" title=""User:Tisha Mukherjee"">Tisha Mukherjee</a>"
Peramelemorphia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Bandicoot.jpg/330px-Bandicoot.jpg,Public domain,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Panbk&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Panbk (page does not exist)"">Panbk</a>"
Perciformes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/AkarotaxisNudicepsFSO.jpg/330px-AkarotaxisNudicepsFSO.jpg,CC BY 3.0,After Gon &amp; Heemstra (1990) from Fishes of the Southern Ocean / Biodiversity Heritage Library.
Perissodactyla,https://upload.wikimedia.org/wikipedia/commons/b/b4/00296_zebra.jpg,CC BY-SA 3.0,Eric van Poppel
Peronosporales,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/07_06_sporangiophores%2C_Phytophthora%2C_Pseudoperonospora%2C_Peronosporales%2C_Oomycota_%28M._Piepenbring%29.png/330px-07_06_sporangiophores%2C_Phytophthora%2C_Pseudoperonospora%2C_Peronosporales%2C_Oomycota_%28M._Piepenbring%29.png,CC BY-SA 3.0,Prof. M. Piepenbring
Petromyzontiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Aparelho_bucal_de_lampr%C3%A9ia.jpg/330px-Aparelho_bucal_de_lampr%C3%A9ia.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Anna_L%C3%ADdia_dos_Santos_Oliveira&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Anna Lídia dos Santos Oliveira (page does not exist)"">Anna Lídia dos Santos Oliveira</a>"
Pezizales,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Gymnohydnotrya_sp.png/330px-Gymnohydnotrya_sp.png,CC BY 2.5,"Stajich, Jason E.; Bonito, Gregory; Smith, Matthew E.; Nowak, Michael; Healy, Rosanne A.; Guevara, Gonzalo; Cázares, Efren; Kinoshita, Akihiko; Nouhra, Eduardo R.; Domínguez, Laura S.; Tedersoo, Leho; Murat, Claude; Wang, Yun; Moreno, Baldomero Arroyo; Pfister, Donald H.; Nara, Kazuhide; Zambonelli, Alessandra; Trappe, James M.; Vilgalys, Rytas."
Phoenicopteriformes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Flamant_rose_Thyna009.jpg/330px-Flamant_rose_Thyna009.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:El_Golli_Mohamed"" title=""User:El Golli Mohamed"">El Golli Mohamed</a>"
Poales,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/De_Cocksdorp_%28NL%29%2C_Leuchtturm_--_2026_--_0312.jpg/330px-De_Cocksdorp_%28NL%29%2C_Leuchtturm_--_2026_--_0312.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q34788025"" class=""extiw"" title=""d:Q34788025""><span title=""German photographer and mathematician"">Dietmar Rabich</span></a></bdi>"
Polyporales,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/2015-2016_038_Polypore.jpg/330px-2015-2016_038_Polypore.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Cwmhiraeth"" title=""User:Cwmhiraeth"">Cwmhiraeth</a>"
Primates,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Gorilla_Male_Global.jpg/330px-Gorilla_Male_Global.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Archaeodontosaurus"" title=""User:Archaeodontosaurus"">Didier Descouens</a>"
Proboscidea,https://upload.wikimedia.org/wikipedia/commons/a/a8/Indian_elephant_in_Kaziranga_National_Park_March_2025_by_Tisha_Mukherjee_06.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Tisha_Mukherjee"" title=""User:Tisha Mukherjee"">Tisha Mukherjee</a>"
Psittaciformes,https://upload.wikimedia.org/wikipedia/commons/e/ec/Ara_ararauna_Luc_Viatour.jpg,CC BY 2.0,"<a href=""//commons.wikimedia.org/wiki/User:Lviatour"" title=""User:Lviatour"">Luc Viatour</a>"
Pucciniales,https://upload.wikimedia.org/wikipedia/commons/6/66/Bluebell_Rust.jpg,CC BY 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Jaiiiiiiii&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Jaiiiiiiii (page does not exist)"">Jaiiiiiiii</a>"
Rhynchocephalia,https://upload.wikimedia.org/wikipedia/commons/b/bc/Diphydontosaurus.png,CC BY 4.0,"Tiago R. Simões, Grace Kinney-Broderick &amp; Stephanie E. Pierce"
Rodentia,https://upload.wikimedia.org/wikipedia/commons/3/35/Callospermophilus_lateralis_near_Lake_Almanor.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q57175365"" class=""extiw"" title=""d:Q57175365""><span title=""German-American photographer, Wikipedian, and Executive Director of the Wiki Education Foundation"">Frank Schulenburg</span></a></bdi>"
Rosales,https://upload.wikimedia.org/wikipedia/commons/6/61/Illustration_Rosa_majalis0.jpg,Public domain,
Saccharomycetales,https://upload.wikimedia.org/wikipedia/commons/5/56/Abb3.122_Ascomycota_Saccharomycetales_Dipodascus_Geotrichum_2021_%28M._Piepenbring%29.svg,CC BY-SA 3.0,Prof. Meike Piepenbring
Salmoniformes,https://upload.wikimedia.org/wikipedia/commons/3/3d/Alevins_de_truites_%28Ifremer_00556-66843%29.jpg,CC BY 4.0,"Stephane Lesbats (IFREMER, Pôle Images, Centre Bretagne - ZI de la Pointe du Diable - CS 10070 - 29280 Plouzané, France)"
Siluriformes,https://upload.wikimedia.org/wikipedia/commons/4/40/Busuk_sirip_pada_ikan_lele.jpg,CC BY 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Nafisathallah"" title=""User:Nafisathallah"">Nafisathallah</a>"
Solanales,https://upload.wikimedia.org/wikipedia/commons/3/3f/Kreta_%28GR%29%2C_Amnatos%2C_Kloster_Arkadi%2C_Kirche_--_2023_--_8642.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q34788025"" class=""extiw"" title=""d:Q34788025""><span title=""German photographer and mathematician"">Dietmar Rabich</span></a></bdi>"
Sordariales,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Chaetonium_%28Acremonium%29_ascospores_160X_%282%29.png/330px-Chaetonium_%28Acremonium%29_ascospores_160X_%282%29.png,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Ninjatacoshell"" title=""User:Ninjatacoshell"">Ninjatacoshell</a>"
Sphenisciformes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Adelie_Penguins_on_iceberg.jpg/330px-Adelie_Penguins_on_iceberg.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/10004136@N05"">Jason Auch</a>"
Squamata,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Artedia_squamata_1_edit.jpg/330px-Artedia_squamata_1_edit.jpg,CC BY 3.0,"Gideon Pisanty (<a href=""//commons.wikimedia.org/wiki/User:Gidip"" title=""User:Gidip"">Gidip</a>)"
Strigiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Asian_Barn_Owl_in_Joka_June_2024_by_Tisha_Mukherjee_01.jpg/330px-Asian_Barn_Owl_in_Joka_June_2024_by_Tisha_Mukherjee_01.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Tisha_Mukherjee"" title=""User:Tisha Mukherjee"">Tisha Mukherjee</a>"
Struthioniformes,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Avestruz_de_cuello_azul_%28Struthio_camelus_australis%29%2C_cabo_de_Buena_Esparanza%2C_Sud%C3%A1frica%2C_2018-07-23%2C_DD_87.jpg/330px-Avestruz_de_cuello_azul_%28Struthio_camelus_australis%29%2C_cabo_de_Buena_Esparanza%2C_Sud%C3%A1frica%2C_2018-07-23%2C_DD_87.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q28147777"" class=""extiw"" title=""d:Q28147777""><span title=""Spanish photographer"">Diego Delso</span></a></bdi>"
Testudines,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Chelonia_mydas_albino_p1440273.jpg/330px-Chelonia_mydas_albino_p1440273.jpg,CC BY-SA 3.0,David Monniaux
Tetraodontiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Adriaen_Coenen%27s_Visboeck_-_KB_78_E_54_-_folio_087v.jpg/330px-Adriaen_Coenen%27s_Visboeck_-_KB_78_E_54_-_folio_087v.jpg,Public domain,This image has been <b>extracted</b> from another file
Tremellales,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tremella_closeup.jpg/330px-Tremella_closeup.jpg,CC BY-SA 3.0,Eric Guinther
Ustilaginales,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/A_list_of_fungi_%28ustilaginales_and_uredinales%29_prepared_for_exchange_%28IA_listoffungiustil195patt%29.pdf/page1-330px-A_list_of_fungi_%28ustilaginales_and_uredinales%29_prepared_for_exchange_%28IA_listoffungiustil195patt%29.pdf.jpg,Public domain,"<div class=""fn value"">
<dl><dd>Patterson, Flora W. (Flora Wambaugh), 1847-1928</dd>
<dd>Diehl, William W. (William Webster), 1891-</dd>
<dd>Cash, Edith K. (Edith Katherine), 1890-</dd></dl></div>"
Vitales,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Begonia_Vine_3.jpg/330px-Begonia_Vine_3.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Nativeplants_garden&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Nativeplants garden (page does not exist)"">Nativeplants garden</a>"
Zingiberales,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Alpinia_zerumbet2CaryCass.jpg/330px-Alpinia_zerumbet2CaryCass.jpg,CC BY-SA 3.0,"photographed by <a href=""//commons.wikimedia.org/wiki/User:Bastique"" title=""User:Bastique"">Cary Bass</a>"
